SKU,Název,Značka,Řada,Generace,Kategorie,Jednotka,Min € bez DPH,Nejlevnější shop,Δ % vs. minulý běh,Δ % vs. 30d min,Dostupnost (min),bike-components.de,bike-discount.de,rosebikes.de,starbike.com,mantel.com,koloshop.cz,hupnakolo.cz,kupkolo.cz
SH-ULT-FD,FD-R8150 Di2,Shimano,Ultegra Di2,R8100,Přesmykač,ks,134.45,bike-discount.de,0.0,0.0,skladem,142.85,134.45,146.18,156.22,,,,153.97
SH-ULT-FC,FC-R8100 kliky 2x12 (50-34),Shimano,Ultegra Di2,R8100,Kliky,ks,17.25,mantel.com,0.0,0.0,skladem,144.53,163.86,162.14,171.34,17.25,,158.94,149.87
SH-ULT-FC-PM,FC-R8100-P kliky s wattmetrem,Shimano,Ultegra Di2,R8100,Kliky s wattmetrem,ks,2.16,hupnakolo.cz,0.0,0.0,?,747.06,,2773.11,727.65,669.38,,2.16,5.1
SH-ULT-CS,CS-R8100 12s (11-30),Shimano,Ultegra Di2,R8100,Kazeta,ks,109.24,bike-components.de,0.0,0.0,skladem,109.24,,,,,,,
SH-ULT-CN,CN-M8100 řetěz 12s,Shimano,Ultegra Di2,R8100,Řetěz,ks,20.11,starbike.com,0.0,0.0,?,25.2,25.2,23.49,20.11,27.23,,,
SH-ULT-SET,Shimano Ultegra Di2 R8100 kompletní sada 2x12 disc,Shimano,Ultegra Di2,R8100,Kompletní sada,sada,1015.7,mantel.com,0.0,0.0,skladem,1285.71,1050.41,,1269.66,1015.7,,,
SH-ULT-SET-PM,Shimano Ultegra Di2 R8100 kompletní sada s FC-R8100-P,Shimano,Ultegra Di2,R8100,Kompletní sada s wattmetrem,sada,1420.16,bike-discount.de,0.0,0.0,skladem,,1420.16,,1819.24,,,,
SH-DA-STBR,ST-R9270 + BR-R9270 Di2 hydraulické páky + třmeny (pár),Shimano,Dura-Ace Di2,R9200,Páky + třmeny (pár),pár,317.57,kupkolo.cz,-0.0,-0.0,skladem,654.62,815.12,,432.69,,,,317.57
SH-DA-RD,RD-R9250 Di2 12s,Shimano,Dura-Ace Di2,R9200,Přehazovačka,ks,1.25,bike-components.de,0.0,0.0,skladem,1.25,445.37,294.92,583.95,28.64,,393.07,11.94
SH-DA-FD,FD-R9250 Di2,Shimano,Dura-Ace Di2,R9200,Přesmykač,ks,210.08,bike-components.de,0.0,0.0,skladem,210.08,235.29,235.25,288.15,,,,218.32
